,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
199,bc,making,ai,thing,mi,shock,laughing,dew
200,okay,thatshuge,need,rough,nena,top,loud,push
201,give,felt,watching,hug,1dtv,buddy,one,around
202,awesome,school,2,let,akoo,moment,picked,change
203,right,crush,male,cuddle,tv,'re,wearing,point
204,everyone,like,dog,haha,mall,craving,shirt,view
205,follow,going,humming,3,court,chocolate,bra,text
206,sister,notice,lmfao,lost,1d,milk,0o,know
207,colorado,shh,yes,21,omg,syrup,dang,date
208,somebody,closer,die,game,trivia,k,already,honored
209,snapchat,way,people,another,ringo,yup,9,finished
210,actually,kinda,jus,tomorrow,ta,scary,barely,rewatching
211,use,old,dx,12,mountain,stuff,selma,tangled
212,app,blackberry,mn,cuz,dew,phone,sue,flynn
213,aansley31,metropcs,ion,head,yum,instead,verizon,rider
214,sitting,soo,folk,throbbingmy,thinking,iphone4s,paid,officially
215,bored,throwing,front,tummie,bouta,tt,lot,sexiest
216,want,shot,u,never,nd,today,4g,disney
217,something,awesome,three,meant,watchn,month,'ve,prince
218,mall,bart,whole,cause,moviee,hardest,3g,even
219,apple,scott,week,back,mouse,3,nyny,whatever
220,sstore,voice,wo,continue,hi,oomf,fell,hahahahahahaha
221,cartopia,tired,drinking,bigger,gon,talk,asleep,dying
222,12th,still,soda,person,na,make,even,fine
223,hawthorn,ta,drank,hear,cat,plan,staying,piece
224,yakima,function,later,good,ont,see,cat,alright
225,foursquare,tonight,started,people,though,apply,seem,gett
226,encounter,tho,hehehe,liked,wowzass,already,scaryy,ur
227,group,man,thanks,picture,busyy,ever,dye,partyy
228,#,trisha,seeing,instagram,minnesota,happened,used,wit
229,talk,yu,pretty,week,betcha,sister,mark,laura
230,fianceé,homecoming,face,ago,mean,teeth,ayee,would
231,vhat,definitely,okay,yaay,dad,long,chinese,miss
232,werng,forest,wan,tonight,vincent,zac,intercepted,world
233,ima,park,na,y'all,herbert,good,pas,lodi
234,21,,give,tuesday,clearly,horse,facing,michael
235,question,noo,awesome,next,state,wat,opposite,david
236,bruh,went,everyone,leaving,america,work,feel,winery
237,yeah,brother,follow,friday,copper,knee,drunk,wait
238,wrong,last,many,skip,head,hurtin,pink,patty
239,chasing,college,thing,monday,hike,7,lemonade,mill
240,reminiscing,icy,mom,class,honored,workin,lcc,play
241,alcoholic,pic,doe,musical,follooww,publix,please,tonight
242,phone,dont,sad,dig,hahahahahahaha,couldnt,beat,☺
243,acting,nose,somebody,lyric,dying,imagine,lb,moon
244,stupid,bein,snapchat,work,piece,always,never,drinkinn
245,complete,stuffy,actually,mess,alright,guy,thought,'
246,agree,lil,use,around,^^,girl,'d,w
247,activerecor,cough,app,might,lmfao,dy,side,maainns
248,irty,somebody,aansley31,actually,myia,movie,man,soo
249,would,rear,sitting,lay,skype,laugh,listening,coolldd
250,ideal,ended,bored,forget,cortney,need,hip,burned
251,knowing,charger,late,sister,ugly,tahh,hop,tongue
252,rest,took,umm,town,confused,cj,lately,filhos
253,code,pissy,tf,ditch,lissa,girlfriend,went,em
254,matter,claire,sosa,boyfriend,addy,pregame,entrance,primeiro
255,time,lmfao,im,way,aiden,smacked,happys,lugar
256,end,'ve,gome,patrick,wait,omw,thats,né
257,havin,kept,noone,eat,patty,astoria,layoyough,leticia
258,cuss,ash,else,drink,mill,mi,lols,hahahaha
259,another,talking,nothing,think,play,21st,wise,take
260,family,cooky,cartopia,either,tonight,without,yoyou,phone
261,member,shit,12th,lesbian,stupidest,constantly,think,shower
262,smh,standing,hawthorn,follow,regardless,changing,aer,mexican
263,real,someone,yakima,tweet,wo,emotion,#,family
264,text,else,foursquare,talking,fight,mood,nt,village
265,5th,coffee,encounter,tomeeting,shh,swing,mastered,great
266,texting,called,group,tough,quiet,sometime,tht,time
267,mean,hey,ivee,situation,drinkinn,haii,girlfriend,rachel
